experiment_id,experiment_title,policy_name,policy_family,simulator_name,balls,bins,trials,weighted_balls,max_weight,workload_seed,allocation_seed,k,heap_size,average_load_mean,average_load_stddev,max_load_mean,max_load_stddev,cv_load_mean,cv_load_stddev,cost_per_ball_mean,cost_per_ball_stddev,total_cost_mean,total_cost_stddev,random_draw_cost_per_ball,load_read_cost_per_ball,compare_cost_per_ball,state_read_cost_per_ball,state_update_cost_per_ball,state_memory_cost_per_ball,heap_update_cost_per_ball,stateless_cost_per_ball,stateful_cost_per_ball,reference_type,reference_max_load,reference_cv_load,reference_note
06_final_tradeoff_unweighted,Final tradeoff unweighted,Absolute minimum,stateless,PowerKSimulator,10000,32,30,false,1,42,1337,32,0,312.5,0,313,0,0.0016,6.61642131338e-19,223,0,2230000,0,32,160,31,0,0,0,0,223,0,unweighted_optimal,313,0.0016,Optimal unweighted allocation
06_final_tradeoff_unweighted,Final tradeoff unweighted,Round-robin,round_robin,StatefulRoundRobinSimulator,10000,32,30,false,1,42,1337,0,0,312.5,0,313,0,0.0016,6.61642131338e-19,2.0001,1.35504308498e-15,20001,0,0,0,0,1,1,0.0001,0,0,2.0001,unweighted_optimal,313,0.0016,Optimal unweighted allocation
06_final_tradeoff_unweighted,Final tradeoff unweighted,Heap s=4,heap,HeapSizeSPowerOfKSimulator,10000,32,30,false,1,42,1337,2,4,312.5,0,313,0,0.00191080019764,0.000202167405984,29.9495333333,0.00555656389317,299495.333333,55.5656389317,2,10,5,5,1.98728333333,0.0004,5.96185,17,12.9495333333,unweighted_optimal,313,0.0016,Optimal unweighted allocation
06_final_tradeoff_unweighted,Final tradeoff unweighted,Heap s=8,heap,HeapSizeSPowerOfKSimulator,10000,32,30,false,1,42,1337,2,8,312.5,0,313,0,0.00173595276281,0.000195997902734,39.9699333333,0.00504109548394,399699.333333,50.4109548394,2,10,9,9,1.99382666667,0.0008,7.97530666667,21,18.9699333333,unweighted_optimal,313,0.0016,Optimal unweighted allocation
06_final_tradeoff_unweighted,Final tradeoff unweighted,Heap s=16,heap,HeapSizeSPowerOfKSimulator,10000,32,30,false,1,42,1337,2,16,312.5,0,313,0,0.00161259029213,4.7913892421e-05,57.99546,0.00168002463036,579954.6,16.8002463036,2,10,17,17,1.99897666667,0.0016,9.99488333333,29,28.99546,unweighted_optimal,313,0.0016,Optimal unweighted allocation
06_final_tradeoff_unweighted,Final tradeoff unweighted,Full heap,heap,HeapSizeSPowerOfKSimulator,10000,32,30,false,1,42,1337,0,32,312.5,0,313,0,0.0016,6.61642131338e-19,8.0032,5.42017233992e-15,80032,0,0,0,0,1,1,0.0032,6,0,8.0032,unweighted_optimal,313,0.0016,Optimal unweighted allocation
07_final_tradeoff_weighted,Final tradeoff weighted,Random weighted,stateless,PowerKSimulator,10000,32,30,true,10,42,1337,1,0,1720.16927347,7.54414752709,1932.37839324,53.7900138231,0.058925453192,0.00855800270487,1,0,10000,0,1,0,0,0,0,0,0,1,0,weighted_average_lower_bound,1720.16927347,0,Average-load lower bound only; true weighted optimum requires partition/bin-packing
07_final_tradeoff_weighted,Final tradeoff weighted,Power-2 weighted,stateless,PowerKSimulator,10000,32,30,true,10,42,1337,2,0,1720.16927347,7.54414752709,1730.35952396,7.83044488336,0.00325853928212,0.000671654826677,13,0,130000,0,2,10,1,0,0,0,0,13,0,weighted_average_lower_bound,1720.16927347,0,Average-load lower bound only; true weighted optimum requires partition/bin-packing
07_final_tradeoff_weighted,Final tradeoff weighted,Power-3 weighted,stateless,PowerKSimulator,10000,32,30,true,10,42,1337,3,0,1720.16927347,7.54414752709,1728.19905074,7.83006920894,0.00223100269822,0.000273597172068,20,0,200000,0,3,15,2,0,0,0,0,20,0,weighted_average_lower_bound,1720.16927347,0,Average-load lower bound only; true weighted optimum requires partition/bin-packing
07_final_tradeoff_weighted,Final tradeoff weighted,Power-4 weighted,stateless,PowerKSimulator,10000,32,30,true,10,42,1337,4,0,1720.16927347,7.54414752709,1726.79730107,7.97055714751,0.00179994666934,0.000268928185275,27,0,270000,0,4,20,3,0,0,0,0,27,0,weighted_average_lower_bound,1720.16927347,0,Average-load lower bound only; true weighted optimum requires partition/bin-packing
07_final_tradeoff_weighted,Final tradeoff weighted,Absolute minimum weighted,stateless,PowerKSimulator,10000,32,30,true,10,42,1337,32,0,1720.16927347,7.54414752709,1725.28802643,7.79403491788,0.00136055965803,0.000161106986569,223,0,2230000,0,32,160,31,0,0,0,0,223,0,weighted_average_lower_bound,1720.16927347,0,Average-load lower bound only; true weighted optimum requires partition/bin-packing
07_final_tradeoff_weighted,Final tradeoff weighted,Round-robin,round_robin,StatefulRoundRobinSimulator,10000,32,30,true,10,42,1337,0,0,1720.16927347,7.54414752709,1816.78481395,17.8151143053,0.0254407793028,0.00315325322091,2.0001,1.35504308498e-15,20001,0,0,0,0,1,1,0.0001,0,0,2.0001,weighted_average_lower_bound,1720.16927347,0,Average-load lower bound only; true weighted optimum requires partition/bin-packing
07_final_tradeoff_weighted,Final tradeoff weighted,Heap s=4,heap,HeapSizeSPowerOfKSimulator,10000,32,30,true,10,42,1337,2,4,1720.16927347,7.54414752709,1726.58884311,7.80232893866,0.00192818882715,0.000314624218913,29.48496,0.0120016550583,294849.6,120.016550583,2,10,5,5,1.87114,0.0004,5.61342,17,12.48496,weighted_average_lower_bound,1720.16927347,0,Average-load lower bound only; true weighted optimum requires partition/bin-packing
07_final_tradeoff_weighted,Final tradeoff weighted,Heap s=8,heap,HeapSizeSPowerOfKSimulator,10000,32,30,true,10,42,1337,2,8,1720.16927347,7.54414752709,1725.98262438,7.39518515345,0.00164677679632,0.000194285774618,39.2961666667,0.0174755658649,392961.666667,174.755658649,2,10,9,9,1.85907333333,0.0008,7.43629333333,21,18.2961666667,weighted_average_lower_bound,1720.16927347,0,Average-load lower bound only; true weighted optimum requires partition/bin-packing
07_final_tradeoff_weighted,Final tradeoff weighted,Heap s=16,heap,HeapSizeSPowerOfKSimulator,10000,32,30,true,10,42,1337,2,16,1720.16927347,7.54414752709,1725.33529406,7.80597984637,0.00137030968732,0.000177911858097,56.80072,0.0228129183004,568007.2,228.129183004,2,10,17,17,1.79985333333,0.0016,8.99926666667,29,27.80072,weighted_average_lower_bound,1720.16927347,0,Average-load lower bound only; true weighted optimum requires partition/bin-packing
07_final_tradeoff_weighted,Final tradeoff weighted,Full heap,heap,HeapSizeSPowerOfKSimulator,10000,32,30,true,10,42,1337,0,32,1720.16927347,7.54414752709,1725.28802643,7.79403491788,0.00136055965803,0.000161106986569,8.0032,5.42017233992e-15,80032,0,0,0,0,1,1,0.0032,6,0,8.0032,weighted_average_lower_bound,1720.16927347,0,Average-load lower bound only; true weighted optimum requires partition/bin-packing
